episode,is_optimal,expected,unexpected,ach,sigma_ne,argmax_fallback
168,1,0.010000,0.004083,0.010000,0.447851,1
169,1,0.024120,0.004750,0.010000,0.467022,0
170,0,0.108393,0.003800,0.010000,0.488138,0
171,1,4.879873,0.003271,0.010000,0.458510,0
172,1,0.010000,0.003140,0.050000,0.443343,1
173,1,0.010000,0.003288,0.010000,0.439763,1
174,0,0.010000,0.002631,0.010000,0.443820,0
175,1,0.121899,0.002104,0.010000,0.426518,1
176,1,0.411070,0.001781,0.010000,0.414030,1
177,1,0.468003,0.001833,0.012596,0.406969,1
178,1,0.426351,0.002143,0.021076,0.408065,0
179,1,0.428004,0.002622,0.013956,0.414893,0
180,1,0.412131,0.003203,0.014136,0.426296,1
181,1,0.403586,0.003838,0.012674,0.441486,1
182,1,0.392935,0.004489,0.012101,0.459636,0
183,1,0.383489,0.005131,0.011549,0.479742,1
184,1,0.374140,0.005745,0.011178,0.500676,1
185,1,0.365201,0.006319,0.010896,0.521347,0
186,1,0.356563,0.006846,0.010689,0.540849,1
187,1,0.348235,0.007320,0.010534,0.558561,0
188,1,0.340198,0.007741,0.010417,0.574153,0
189,1,0.332438,0.008109,0.010328,0.587533,1
190,1,0.324943,0.008424,0.010261,0.598777,1
191,1,0.317701,0.008690,0.010208,0.608054,0
192,1,0.310701,0.008909,0.010168,0.615576,1
193,1,0.303932,0.009084,0.010136,0.621560,1
194,1,0.297384,0.009220,0.010111,0.626211,0
195,1,0.291047,0.009319,0.010091,0.629710,1
196,1,0.284912,0.009384,0.010076,0.632214,1
197,1,0.278971,0.009420,0.010063,0.633855,1
198,1,0.273216,0.009430,0.010053,0.634743,0
199,1,0.267639,0.009415,0.010044,0.634972,0
200,1,0.262232,0.009380,0.010038,0.634617,1
201,1,0.256989,0.009326,0.010032,0.633743,1
202,1,0.251904,0.009257,0.010027,0.632407,0
203,1,0.246969,0.009174,0.010023,0.630654,1
204,1,0.242179,0.009079,0.010020,0.628526,1
205,1,0.237529,0.008974,0.010017,0.626060,1
206,1,0.233012,0.008860,0.010015,0.623290,1
207,0,0.228625,0.007088,0.010013,0.620245,0
208,0,7.058431,0.005671,0.010012,0.566581,0
209,1,0.010000,0.004536,0.050000,0.518810,1
210,1,0.010000,0.003629,0.010000,0.481241,0
211,1,0.010000,0.002903,0.010000,0.453490,1
212,1,0.010000,0.002323,0.010000,0.433470,1
213,1,0.010000,0.001858,0.010000,0.419059,0
214,0,0.010000,0.001486,0.010000,0.408605,0
215,1,2.358962,0.001189,0.010000,0.400929,1
216,1,0.010000,0.000951,0.050000,0.395222,0
217,1,0.010448,0.000761,0.010000,0.390927,1
218,0,0.034891,0.000609,0.010000,0.387660,0
219,0,4.863309,0.000487,0.010000,0.385153,0
220,1,0.010000,0.000390,0.050000,0.383214,1
221,1,0.010000,0.000312,0.010000,0.381704,1
222,1,0.028231,0.000249,0.010000,0.380523,0
223,1,0.112873,0.000200,0.010000,0.379595,0
224,1,0.294795,0.000160,0.010000,0.378863,0
225,1,0.377235,0.000128,0.010085,0.378284,1
226,0,0.354278,0.000102,0.010981,0.377825,0
227,1,5.665512,0.000082,0.010499,0.377460,1
228,1,0.010000,0.000065,0.050000,0.377171,1
229,0,0.010000,0.000052,0.010000,0.376940,0
230,1,0.010000,0.000042,0.010000,0.376756,1
231,1,0.011320,0.000033,0.010000,0.376609,0
232,1,0.055567,0.000027,0.010000,0.376492,1
233,0,0.208274,0.000021,0.010000,0.376399,0
234,1,5.229110,0.000017,0.010006,0.376324,0
