107: Ret: -174.57; Last 100 Avg Ret: -216.55; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 7; Solved: N
108: Ret: -96.94; Last 100 Avg Ret: -214.49; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 7; Solved: N
109: Ret: -326.93; Last 100 Avg Ret: -214.45; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 7; Solved: N
110: Ret: -51.22; Last 100 Avg Ret: -212.82; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
111: Ret: -27.12; Last 100 Avg Ret: -210.32; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
112: Ret: -86.06; Last 100 Avg Ret: -208.38; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
113: Ret: -168.48; Last 100 Avg Ret: -208.42; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
114: Ret: -71.61; Last 100 Avg Ret: -208.03; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
115: Ret: -290.63; Last 100 Avg Ret: -209.09; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
116: Ret: -226.03; Last 100 Avg Ret: -207.08; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
117: Ret: -406.32; Last 100 Avg Ret: -206.35; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
118: Ret: -244.40; Last 100 Avg Ret: -205.09; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
119: Ret: -114.23; Last 100 Avg Ret: -202.30; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
120: Ret: -332.72; Last 100 Avg Ret: -202.37; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
