82: Ret: -183.87; Last 100 Avg Ret: -213.21; Var: 0.00255551; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
83: Ret: -260.93; Last 100 Avg Ret: -213.79; Var: 0.00254052; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
84: Ret: -205.57; Last 100 Avg Ret: -213.69; Var: 0.00254052; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
85: Ret: -96.48; Last 100 Avg Ret: -212.31; Var: 0.00345504; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
86: Ret: -338.98; Last 100 Avg Ret: -213.78; Var: 0.00344822; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
87: Ret: -15.54; Last 100 Avg Ret: -211.50; Var: 0.00337005; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
88: Ret: -33.00; Last 100 Avg Ret: -209.48; Var: 0.00000134; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
89: Ret: -57.25; Last 100 Avg Ret: -207.77; Var: 0.00017410; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
90: Ret: -42.41; Last 100 Avg Ret: -205.93; Var: 0.00043355; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
91: Ret: -267.09; Last 100 Avg Ret: -206.60; Var: 0.00104525; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
92: Ret: -80.42; Last 100 Avg Ret: -205.23; Var: 0.00129970; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
93: Ret: -163.25; Last 100 Avg Ret: -204.78; Var: 0.00138125; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
94: Ret: -368.38; Last 100 Avg Ret: -206.52; Var: 0.00154846; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
95: Ret: -79.43; Last 100 Avg Ret: -205.18; Var: 0.00293866; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
