Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
520: Ret: -107.88; Last 100 Avg Ret: -84.51; Var: 0.00068388; NE: 1.145; ACh: 0.000; ActLR: 0.00006250; Solved: N
530: Ret: 13.22; Last 100 Avg Ret: -71.71; Var: 0.00089747; NE: 1.145; ACh: 0.000; ActLR: 0.00006250; Solved: N
540: Ret: -138.05; Last 100 Avg Ret: -66.62; Var: 0.00049777; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
550: Ret: -71.92; Last 100 Avg Ret: -70.24; Var: 0.00061674; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
560: Ret: 39.72; Last 100 Avg Ret: -61.98; Var: 0.00090625; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
570: Ret: 70.72; Last 100 Avg Ret: -59.28; Var: 0.00055051; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
580: Ret: -92.18; Last 100 Avg Ret: -58.73; Var: 0.00046217; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
590: Ret: 204.68; Last 100 Avg Ret: -54.38; Var: 0.00017541; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
600: Ret: 37.99; Last 100 Avg Ret: -45.82; Var: 0.00070587; NE: 1.145; ACh: 0.000; ActLR: 0.00006250; Solved: N
610: Ret: 148.97; Last 100 Avg Ret: -27.48; Var: 0.00047970; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
620: Ret: 6.45; Last 100 Avg Ret: -18.87; Var: 0.00037167; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
630: Ret: 231.68; Last 100 Avg Ret: -16.92; Var: 0.00007643; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
640: Ret: 124.74; Last 100 Avg Ret: -9.16; Var: 0.00036037; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
650: Ret: 29.72; Last 100 Avg Ret: -0.81; Var: 0.00025951; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
660: Ret: 39.93; Last 100 Avg Ret: 5.43; Var: 0.00042782; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
670: Ret: 3.09; Last 100 Avg Ret: 9.71; Var: 0.00028457; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
680: Ret: 208.48; Last 100 Avg Ret: 18.44; Var: 0.00016904; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
690: Ret: 129.43; Last 100 Avg Ret: 30.74; Var: 0.00152354; NE: 1.147; ACh: 0.000; ActLR: 0.00006250; Solved: N
700: Ret: -10.00; Last 100 Avg Ret: 39.48; Var: 0.00065712; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
710: Ret: -56.10; Last 100 Avg Ret: 36.09; Var: 0.00057745; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
720: Ret: -52.87; Last 100 Avg Ret: 39.16; Var: 0.00081698; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
730: Ret: 250.38; Last 100 Avg Ret: 34.43; Var: 0.00111735; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
740: Ret: 247.31; Last 100 Avg Ret: 38.85; Var: 0.00047730; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
750: Ret: 5.27; Last 100 Avg Ret: 45.92; Var: 0.00061038; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
760: Ret: 237.86; Last 100 Avg Ret: 41.55; Var: 0.00060762; NE: 1.145; ACh: 0.000; ActLR: 0.00006250; Solved: N
770: Ret: 239.06; Last 100 Avg Ret: 44.88; Var: 0.00076122; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
780: Ret: -140.72; Last 100 Avg Ret: 45.97; Var: 0.00083733; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
790: Ret: -51.21; Last 100 Avg Ret: 32.93; Var: 0.00183180; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
800: Ret: -40.11; Last 100 Avg Ret: 27.65; Var: 0.00105883; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
810: Ret: -21.38; Last 100 Avg Ret: 32.86; Var: 0.00038062; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
820: Ret: 172.65; Last 100 Avg Ret: 36.81; Var: 0.00115400; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
830: Ret: 16.40; Last 100 Avg Ret: 35.97; Var: 0.00056769; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
840: Ret: 249.49; Last 100 Avg Ret: 40.21; Var: 0.00025864; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
850: Ret: -23.89; Last 100 Avg Ret: 38.34; Var: 0.00021946; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
860: Ret: -84.66; Last 100 Avg Ret: 37.70; Var: 0.00096809; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
870: Ret: -90.21; Last 100 Avg Ret: 39.59; Var: 0.00067924; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
880: Ret: -87.12; Last 100 Avg Ret: 25.10; Var: 0.00154090; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
890: Ret: -85.48; Last 100 Avg Ret: 12.34; Var: 0.00073930; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
900: Ret: -39.95; Last 100 Avg Ret: -1.09; Var: 0.00316480; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
910: Ret: -23.78; Last 100 Avg Ret: -13.09; Var: 0.00080455; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
920: Ret: -132.95; Last 100 Avg Ret: -32.13; Var: 0.00059319; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
930: Ret: -81.23; Last 100 Avg Ret: -37.40; Var: 0.00105016; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
940: Ret: -115.31; Last 100 Avg Ret: -51.51; Var: 0.00022992; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
950: Ret: -34.91; Last 100 Avg Ret: -61.59; Var: 0.00088542; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
960: Ret: -48.39; Last 100 Avg Ret: -65.14; Var: 0.00071036; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
970: Ret: -13.32; Last 100 Avg Ret: -72.91; Var: 0.00067326; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
980: Ret: -85.62; Last 100 Avg Ret: -67.33; Var: 0.00472396; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
990: Ret: -50.46; Last 100 Avg Ret: -62.06; Var: 0.00061045; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1000: Ret: -106.30; Last 100 Avg Ret: -64.14; Var: 0.00070270; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1010: Ret: -382.63; Last 100 Avg Ret: -74.89; Var: 0.00019199; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
1020: Ret: -550.92; Last 100 Avg Ret: -112.41; Var: 0.00300834; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1030: Ret: -632.48; Last 100 Avg Ret: -172.37; Var: 0.00511811; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
1040: Ret: -471.21; Last 100 Avg Ret: -230.40; Var: 0.01024980; NE: 1.143; ACh: 1.000; ActLR: 0.00100000; Solved: N
1050: Ret: -557.40; Last 100 Avg Ret: -279.98; Var: 0.01023486; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1060: Ret: -387.30; Last 100 Avg Ret: -340.71; Var: 0.01024879; NE: 1.143; ACh: 1.000; ActLR: 0.00100000; Solved: N
1070: Ret: -880.03; Last 100 Avg Ret: -397.64; Var: 0.00506478; NE: 1.142; ACh: 0.000; ActLR: 0.00031565; Solved: N
1080: Ret: -781.24; Last 100 Avg Ret: -458.44; Var: 0.00495591; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1090: Ret: -354.60; Last 100 Avg Ret: -513.81; Var: 0.00341750; NE: 1.143; ACh: 0.000; ActLR: 0.00016677; Solved: N
1100: Ret: -707.94; Last 100 Avg Ret: -559.72; Var: 0.00512309; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1110: Ret: -739.36; Last 100 Avg Ret: -604.44; Var: 0.00331754; NE: 1.143; ACh: 0.000; ActLR: 0.00010942; Solved: N
1120: Ret: -502.67; Last 100 Avg Ret: -603.79; Var: 0.00511789; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
1130: Ret: -605.37; Last 100 Avg Ret: -600.35; Var: 0.00342534; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1140: Ret: -545.46; Last 100 Avg Ret: -593.38; Var: 0.00324754; NE: 1.143; ACh: 0.000; ActLR: 0.00031381; Solved: N
1150: Ret: -499.09; Last 100 Avg Ret: -595.53; Var: 0.00511797; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1160: Ret: -868.29; Last 100 Avg Ret: -599.34; Var: 0.00341542; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1170: Ret: -457.94; Last 100 Avg Ret: -594.81; Var: 0.00339349; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1180: Ret: -553.59; Last 100 Avg Ret: -591.92; Var: 0.00494402; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1190: Ret: -486.93; Last 100 Avg Ret: -589.85; Var: 0.00443667; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
1200: Ret: -576.11; Last 100 Avg Ret: -592.16; Var: 0.00337099; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1210: Ret: -330.36; Last 100 Avg Ret: -581.16; Var: 0.00482290; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1220: Ret: -664.32; Last 100 Avg Ret: -592.48; Var: 0.00245202; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1230: Ret: -699.99; Last 100 Avg Ret: -591.71; Var: 0.00711235; NE: 1.143; ACh: 0.994; ActLR: 0.00100000; Solved: N
1240: Ret: -482.09; Last 100 Avg Ret: -589.64; Var: 0.00336548; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1250: Ret: -474.60; Last 100 Avg Ret: -587.07; Var: 0.00204162; NE: 1.142; ACh: 0.000; ActLR: 0.00006413; Solved: N
1260: Ret: -691.47; Last 100 Avg Ret: -583.10; Var: 0.00512601; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1270: Ret: -586.23; Last 100 Avg Ret: -585.03; Var: 0.00252510; NE: 1.142; ACh: 0.000; ActLR: 0.00012158; Solved: N
1280: Ret: -609.22; Last 100 Avg Ret: -575.37; Var: 0.00512559; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1290: Ret: -439.56; Last 100 Avg Ret: -572.34; Var: 0.00511274; NE: 1.145; ACh: 0.000; ActLR: 0.00006250; Solved: N
1300: Ret: -487.99; Last 100 Avg Ret: -574.08; Var: 0.00206602; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1310: Ret: -571.14; Last 100 Avg Ret: -592.89; Var: 0.00509311; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1320: Ret: -341.40; Last 100 Avg Ret: -591.59; Var: 0.00342222; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1330: Ret: -748.59; Last 100 Avg Ret: -588.99; Var: 0.00252186; NE: 1.142; ACh: 0.000; ActLR: 0.00010942; Solved: N
1340: Ret: -343.66; Last 100 Avg Ret: -595.62; Var: 0.00498667; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1350: Ret: -520.82; Last 100 Avg Ret: -590.01; Var: 0.00374237; NE: 1.145; ACh: 0.000; ActLR: 0.00006250; Solved: N
1360: Ret: -395.74; Last 100 Avg Ret: -582.13; Var: 0.00335083; NE: 1.143; ACh: 0.000; ActLR: 0.00015009; Solved: N
1370: Ret: -538.45; Last 100 Avg Ret: -584.43; Var: 0.00533566; NE: 1.142; ACh: 0.002; ActLR: 0.00006250; Solved: N
1380: Ret: -533.69; Last 100 Avg Ret: -583.77; Var: 0.00365827; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
1390: Ret: -552.97; Last 100 Avg Ret: -583.89; Var: 0.00209024; NE: 1.142; ACh: 0.000; ActLR: 0.00008863; Solved: N
1400: Ret: -513.60; Last 100 Avg Ret: -579.47; Var: 0.00340979; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1410: Ret: -444.82; Last 100 Avg Ret: -569.45; Var: 0.01007153; NE: 1.143; ACh: 1.000; ActLR: 0.00100000; Solved: N
1420: Ret: -459.43; Last 100 Avg Ret: -574.78; Var: 0.00285105; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1430: Ret: -467.59; Last 100 Avg Ret: -575.44; Var: 0.00484622; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1440: Ret: -554.56; Last 100 Avg Ret: -567.80; Var: 0.00261219; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1450: Ret: -527.39; Last 100 Avg Ret: -578.83; Var: 0.00511788; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1460: Ret: -818.20; Last 100 Avg Ret: -585.77; Var: 0.00334952; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
1470: Ret: -447.41; Last 100 Avg Ret: -590.68; Var: 0.00335332; NE: 1.142; ACh: 0.000; ActLR: 0.00053144; Solved: N
1480: Ret: -349.73; Last 100 Avg Ret: -587.87; Var: 0.00584639; NE: 1.142; ACh: 0.059; ActLR: 0.00014043; Solved: N
1490: Ret: -519.30; Last 100 Avg Ret: -580.66; Var: 0.00255140; NE: 1.143; ACh: 0.000; ActLR: 0.00028243; Solved: N
1500: Ret: -554.36; Last 100 Avg Ret: -578.33; Var: 0.00109973; NE: 1.142; ACh: 0.000; ActLR: 0.00090000; Solved: N
1510: Ret: -564.34; Last 100 Avg Ret: -576.39; Var: 0.00506593; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
1520: Ret: -935.34; Last 100 Avg Ret: -561.11; Var: 0.00317188; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
1530: Ret: -796.17; Last 100 Avg Ret: -570.05; Var: 0.00989908; NE: 1.143; ACh: 1.000; ActLR: 0.00100000; Solved: N
1540: Ret: -766.26; Last 100 Avg Ret: -591.12; Var: 0.00520272; NE: 1.143; ACh: 0.001; ActLR: 0.00006250; Solved: N
1550: Ret: -885.54; Last 100 Avg Ret: -580.59; Var: 0.00347282; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1560: Ret: -574.52; Last 100 Avg Ret: -575.83; Var: 0.00253435; NE: 1.142; ACh: 0.000; ActLR: 0.00020589; Solved: N
1570: Ret: -402.67; Last 100 Avg Ret: -572.16; Var: 0.00507410; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1580: Ret: -502.79; Last 100 Avg Ret: -590.43; Var: 0.00208059; NE: 1.142; ACh: 0.000; ActLR: 0.00008863; Solved: N
1590: Ret: -476.86; Last 100 Avg Ret: -598.90; Var: 0.00341650; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
1600: Ret: -783.81; Last 100 Avg Ret: -601.69; Var: 0.00244635; NE: 1.142; ACh: 0.000; ActLR: 0.00010942; Solved: N
1610: Ret: -485.60; Last 100 Avg Ret: -595.05; Var: 0.00602229; NE: 1.142; ACh: 0.162; ActLR: 0.00023013; Solved: N
1620: Ret: -810.04; Last 100 Avg Ret: -598.96; Var: 0.00342432; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1630: Ret: -518.80; Last 100 Avg Ret: -588.63; Var: 0.00232110; NE: 1.142; ACh: 0.000; ActLR: 0.00072900; Solved: N
1640: Ret: -392.95; Last 100 Avg Ret: -567.81; Var: 0.00994869; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1650: Ret: -780.68; Last 100 Avg Ret: -575.11; Var: 0.00330556; NE: 1.146; ACh: 0.000; ActLR: 0.00006250; Solved: N
1660: Ret: -473.73; Last 100 Avg Ret: -566.44; Var: 0.00244888; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1670: Ret: -325.30; Last 100 Avg Ret: -566.93; Var: 0.00408599; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1680: Ret: -459.73; Last 100 Avg Ret: -560.73; Var: 0.00291532; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1690: Ret: -512.54; Last 100 Avg Ret: -557.83; Var: 0.00990480; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1700: Ret: -812.54; Last 100 Avg Ret: -562.20; Var: 0.00328558; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1710: Ret: -521.72; Last 100 Avg Ret: -572.16; Var: 0.00263768; NE: 1.142; ACh: 0.000; ActLR: 0.00018530; Solved: N
1720: Ret: -372.72; Last 100 Avg Ret: -570.80; Var: 0.00693587; NE: 1.142; ACh: 0.983; ActLR: 0.00100000; Solved: N
1730: Ret: -623.02; Last 100 Avg Ret: -574.80; Var: 0.00361020; NE: 1.143; ACh: 0.000; ActLR: 0.00006461; Solved: N
1740: Ret: -483.47; Last 100 Avg Ret: -568.63; Var: 0.00298665; NE: 1.142; ACh: 0.000; ActLR: 0.00072900; Solved: N
1750: Ret: -466.67; Last 100 Avg Ret: -564.09; Var: 0.00374615; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1760: Ret: -597.61; Last 100 Avg Ret: -578.46; Var: 0.00131338; NE: 1.143; ACh: 0.000; ActLR: 0.00016677; Solved: N
