Start Switch CartPole (Decoupled Uncertainty: NE~Novelty, ACh~Variance). Episodes: 15000
Ep 4500 | NORMAL | R: 217 | Avg: 245.0 | NE: 1.49 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.24 | Expected: 6.90
Ep 4600 | NORMAL | R: 258 | Avg: 246.7 | NE: 1.46 | ACh: 0.0101 | LR: 0.000100 | TDsig: 19.24 | Unexpected: 0.23 | Expected: 8.50
Ep 4700 | NORMAL | R: 207 | Avg: 240.9 | NE: 1.48 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.24 | Expected: 6.57
Ep 4800 | NORMAL | R: 164 | Avg: 204.5 | NE: 1.53 | ACh: 0.0101 | LR: 0.000100 | TDsig: 16.68 | Unexpected: 0.26 | Expected: 7.19
Ep 4900 | NORMAL | R: 190 | Avg: 228.3 | NE: 1.50 | ACh: 0.0101 | LR: 0.000100 | TDsig: 19.05 | Unexpected: 0.24 | Expected: 7.08
Ep 5000 | NORMAL | R: 236 | Avg: 265.2 | NE: 1.47 | ACh: 0.0101 | LR: 0.030000 | TDsig: 13.69 | Unexpected: 0.23 | Expected: 9.42
Ep 5100 | INVERTED | R: 130 | Avg: 229.4 | NE: 1.44 | ACh: 0.0100 | LR: 0.003384 | TDsig: 20.00 | Unexpected: 0.22 | Expected: 5.80
Ep 5200 | INVERTED | R: 341 | Avg: 275.8 | NE: 1.47 | ACh: 0.0100 | LR: 0.007575 | TDsig: 20.00 | Unexpected: 0.23 | Expected: 5.60
Ep 5300 | INVERTED | R: 164 | Avg: 237.1 | NE: 1.47 | ACh: 0.0100 | LR: 0.006480 | TDsig: 20.00 | Unexpected: 0.23 | Expected: 5.63
Ep 5400 | INVERTED | R: 166 | Avg: 204.7 | NE: 1.49 | ACh: 0.0100 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.24 | Expected: 6.14
Ep 5500 | INVERTED | R:  63 | Avg: 189.5 | NE: 1.48 | ACh: 0.0101 | LR: 0.000100 | TDsig: 16.48 | Unexpected: 0.24 | Expected: 6.37
Ep 5600 | INVERTED | R: 112 | Avg: 192.3 | NE: 1.50 | ACh: 0.0100 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.24 | Expected: 6.04
Ep 5700 | INVERTED | R:  78 | Avg: 194.2 | NE: 1.52 | ACh: 0.0101 | LR: 0.000100 | TDsig: 18.47 | Unexpected: 0.25 | Expected: 7.76
Ep 5800 | INVERTED | R: 326 | Avg: 220.3 | NE: 1.54 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.26 | Expected: 6.29
Ep 5900 | INVERTED | R: 139 | Avg: 194.9 | NE: 1.52 | ACh: 0.0101 | LR: 0.000100 | TDsig: 3.89 | Unexpected: 0.25 | Expected: 10.55
