episode,is_optimal,surprise
587,1,0.128651
588,1,0.115786
589,1,0.104207
590,1,0.093787
591,1,0.084408
592,1,0.075967
593,1,0.068370
594,1,0.061533
595,0,0.119232
596,1,0.107309
597,1,0.096578
598,1,0.086920
599,1,0.078228
600,1,0.070405
601,1,0.063365
602,1,0.057028
603,1,0.051325
604,1,0.046193
605,1,0.041574
606,1,0.037416
607,1,0.033675
608,1,0.030307
609,1,0.027276
610,1,0.024549
611,1,0.022094
612,1,0.019885
613,1,0.017896
614,1,0.016106
615,1,0.014496
616,0,0.109246
617,1,0.098321
618,1,0.088489
619,1,0.079640
620,1,0.071676
621,1,0.064509
622,1,0.058058
623,1,0.052252
624,1,0.047027
625,1,0.042324
626,1,0.038092
627,1,0.034282
628,1,0.030854
629,1,0.027769
630,1,0.024992
631,0,0.124465
632,1,0.112019
633,1,0.100817
634,1,0.090735
635,1,0.081662
636,1,0.073495
637,1,0.066146
638,1,0.059531
639,1,0.053578
640,1,0.048220
641,1,0.043398
642,1,0.039058
643,1,0.035153
644,1,0.031637
645,1,0.028474
646,1,0.025626
647,1,0.023064
648,1,0.020757
649,0,0.116949
650,1,0.105254
651,1,0.094729
652,1,0.085256
653,1,0.076730
654,1,0.069057
655,1,0.062151
656,1,0.055936
657,1,0.050343
658,1,0.045308
659,1,0.040778
660,1,0.036700
661,1,0.033030
662,1,0.029727
663,1,0.026754
664,1,0.024079
665,1,0.021671
666,1,0.019504
667,1,0.017553
668,1,0.015798
669,1,0.014218
670,1,0.012796
671,1,0.011517
672,1,0.010365
673,1,0.009329
674,1,0.008396
675,1,0.007556
676,1,0.006801
677,1,0.006120
678,1,0.005508
679,1,0.004958
680,1,0.004462
681,1,0.004016
682,0,0.115325
683,1,0.103793
684,1,0.093413
685,1,0.084072
686,1,0.075665
687,1,0.068098
688,1,0.061289
689,1,0.055160
690,1,0.049644
691,1,0.044679
692,1,0.040211
693,1,0.036190
694,1,0.032571
695,1,0.029314
696,0,0.116992
697,1,0.105293
698,1,0.094763
699,1,0.085287
700,1,0.076758
701,1,0.069082
702,1,0.062174
703,1,0.055957
704,1,0.050361
705,1,0.045325
706,1,0.040792
707,1,0.036713
708,1,0.033042
709,1,0.029738
710,1,0.026764
711,1,0.024088
712,1,0.021679
713,1,0.019511
714,1,0.017560
715,1,0.015804
716,1,0.014223
717,1,0.012801
718,1,0.011521
719,0,0.113680
720,1,0.102312
721,1,0.092080
722,1,0.082872
723,1,0.074585
724,1,0.067127
725,1,0.060414
726,1,0.054373
727,1,0.048935
728,1,0.044042
729,1,0.039638
730,1,0.035674
731,1,0.032106
732,1,0.028896
733,1,0.026006
734,0,0.120443
735,1,0.108399
736,1,0.097559
737,1,0.087803
738,1,0.079023
739,1,0.071120
740,1,0.064008
741,1,0.057607
742,1,0.051847
743,1,0.046662
744,1,0.041996
745,1,0.037796
746,1,0.034017
747,0,0.121740
748,1,0.109566
749,1,0.098609
750,1,0.088748
751,1,0.079874
752,1,0.071886
753,1,0.064698
754,1,0.058228
755,1,0.052405
756,1,0.047165
757,1,0.042448
758,1,0.038203
759,1,0.034383
760,1,0.030945
761,1,0.027850
762,1,0.025065
763,1,0.022559
764,1,0.020303
765,1,0.018273
766,1,0.016445
767,1,0.014801
768,1,0.013321
769,0,0.115866
770,1,0.104279
771,1,0.093851
772,1,0.084466
773,1,0.076020
774,1,0.068418
775,1,0.061576
776,1,0.055418
777,1,0.049876
778,1,0.044889
779,1,0.040400
780,0,0.131144
781,1,0.118030
782,1,0.106227
783,1,0.095604
784,1,0.086044
785,1,0.077439
786,1,0.069695
787,1,0.062726
788,1,0.056453
789,1,0.050808
790,1,0.045727
791,1,0.041154
792,1,0.037039
793,1,0.033335
794,1,0.030002
795,1,0.027001
796,1,0.024301
797,1,0.021871
798,1,0.019684
799,1,0.017716
800,1,0.015944
801,1,0.014350
802,0,0.114669
803,1,0.103202
804,1,0.092882
805,1,0.083594
806,1,0.075234
807,1,0.067711
808,1,0.060940
809,0,0.149146
810,1,0.134232
811,0,0.209644
812,1,0.188680
813,1,0.169812
814,1,0.152831
815,0,0.213226
816,1,0.191903
817,1,0.172713
818,1,0.155442
819,1,0.139898
820,1,0.125908
821,0,0.176995
822,1,0.159296
823,1,0.143366
824,1,0.129030
825,0,0.175373
826,1,0.157836
827,1,0.142052
828,1,0.127847
829,1,0.115062
830,1,0.103556
831,1,0.093200
832,1,0.083880
833,1,0.075492
834,1,0.067943
835,1,0.061149
836,1,0.055034
837,1,0.049530
838,1,0.044577
839,1,0.040120
840,1,0.036108
841,1,0.032497
842,0,0.151814
843,1,0.136632
844,1,0.122969
845,0,0.203638
846,1,0.183274
847,1,0.164946
848,1,0.148452
849,1,0.133607
850,1,0.120246
851,1,0.108221
852,1,0.097399
853,1,0.087659
854,1,0.078893
855,1,0.071004
856,1,0.063904
857,0,0.157944
858,1,0.142149
859,1,0.127934
860,1,0.115141
861,1,0.103627
862,1,0.093264
863,1,0.083938
864,1,0.075544
865,0,0.149880
866,1,0.134892
867,1,0.121403
868,1,0.109263
869,1,0.098336
870,1,0.088503
871,0,0.152699
872,1,0.137429
873,1,0.123686
874,1,0.111317
875,1,0.100186
876,1,0.090167
877,1,0.081150
878,1,0.073035
879,1,0.065732
880,1,0.059159
881,1,0.053243
882,0,0.126787
883,1,0.114108
884,1,0.102697
885,1,0.092427
886,1,0.083185
887,1,0.074866
888,1,0.067380
889,1,0.060642
890,1,0.054577
891,1,0.049120
892,1,0.044208
893,1,0.039787
894,1,0.035808
895,1,0.032227
896,1,0.029005
897,1,0.026104
898,1,0.023494
899,1,0.021144
900,1,0.019030
901,1,0.017127
902,1,0.015414
903,0,0.135409
904,1,0.121868
905,1,0.109681
906,1,0.098713
907,1,0.088842
908,1,0.079958
909,1,0.071962
910,1,0.064766
911,1,0.058289
912,1,0.052460
913,1,0.047214
914,1,0.042493
915,1,0.038243
916,1,0.034419
917,1,0.030977
918,1,0.027880
919,1,0.025092
920,0,0.116567
921,1,0.104910
922,1,0.094419
923,1,0.084977
924,1,0.076479
925,1,0.068831
926,1,0.061948
927,1,0.055753
928,1,0.050178
929,1,0.045160
930,0,0.130983
931,1,0.117885
932,1,0.106097
933,1,0.095487
934,1,0.085938
935,1,0.077344
936,1,0.069610
937,0,0.147182
938,1,0.132464
939,1,0.119217
940,1,0.107296
941,1,0.096566
942,1,0.086909
943,1,0.078218
944,1,0.070397
945,1,0.063357
946,1,0.057021
947,1,0.051319
948,1,0.046187
949,0,0.126850
950,1,0.114165
951,1,0.102748
952,1,0.092474
953,1,0.083226
954,1,0.074904
955,1,0.067413
956,1,0.060672
957,1,0.054605
958,1,0.049144
959,1,0.044230
960,1,0.039807
961,1,0.035826
962,1,0.032244
963,0,0.126409
964,1,0.113769
965,1,0.102392
966,1,0.092153
967,1,0.082937
968,1,0.074644
969,1,0.067179
970,1,0.060461
971,1,0.054415
972,1,0.048974
973,1,0.044076
974,1,0.039669
975,1,0.035702
976,1,0.032132
977,1,0.028918
978,1,0.026027
979,1,0.023424
980,1,0.021082
981,1,0.018973
982,1,0.017076
983,1,0.015368
984,1,0.013832
985,1,0.012448
986,1,0.011204
987,1,0.010083
988,1,0.009075
989,1,0.008167
990,1,0.007351
991,1,0.006616
992,1,0.005954
993,1,0.005359
994,1,0.004823
995,1,0.004341
996,1,0.003906
997,1,0.003516
998,1,0.003164
999,1,0.002848
1000,1,0.002563
1001,1,0.002307
1002,1,0.002076
1003,1,0.001868
1004,1,0.001682
1005,1,0.001513
1006,0,0.111310
1007,1,0.100179
1008,1,0.090161
1009,1,0.081145
1010,1,0.073030
1011,1,0.065727
1012,1,0.059155
1013,0,0.140988
1014,1,0.126889
1015,1,0.114201
1016,1,0.102780
1017,1,0.092502
1018,1,0.083252
1019,1,0.074927
1020,1,0.067434
1021,1,0.060691
1022,1,0.054622
1023,1,0.049160
1024,1,0.044244
1025,1,0.039819
1026,1,0.035837
1027,1,0.032254
1028,1,0.029028
1029,1,0.026125
1030,1,0.023513
1031,1,0.021162
1032,1,0.019045
1033,1,0.017141
1034,1,0.015427
1035,1,0.013884
1036,1,0.012496
1037,1,0.011246
1038,0,0.116815
1039,1,0.105134
1040,1,0.094620
1041,1,0.085158
1042,1,0.076642
1043,1,0.068978
1044,1,0.062080
1045,1,0.055872
1046,1,0.050285
1047,1,0.045257
1048,1,0.040731
1049,0,0.136431
1050,1,0.122788
1051,1,0.110509
1052,1,0.099458
1053,1,0.089512
1054,1,0.080561
1055,1,0.072505
1056,1,0.065255
1057,1,0.058729
1058,1,0.052856
1059,1,0.047571
1060,1,0.042814
1061,1,0.038532
1062,1,0.034679
1063,1,0.031211
1064,1,0.028090
1065,1,0.025281
1066,1,0.022753
1067,1,0.020478
1068,1,0.018430
1069,1,0.016587
1070,0,0.119117
1071,1,0.107205
1072,1,0.096485
1073,1,0.086836
1074,1,0.078153
1075,1,0.070337
1076,0,0.159963
1077,1,0.143967
1078,1,0.129570
1079,1,0.116613
1080,1,0.104952
1081,1,0.094456
1082,1,0.085011
1083,1,0.076510
1084,1,0.068859
1085,1,0.061973
1086,1,0.055776
1087,1,0.050198
1088,1,0.045178
1089,1,0.040660
1090,1,0.036594
1091,1,0.032935
1092,1,0.029641
1093,1,0.026677
1094,1,0.024010
1095,1,0.021609
1096,1,0.019448
1097,1,0.017503
1098,1,0.015753
1099,1,0.014177
1100,1,0.012760
1101,1,0.011484
1102,1,0.010335
1103,1,0.009302
1104,1,0.008372
1105,1,0.007534
1106,1,0.006781
1107,1,0.006103
1108,1,0.005493
1109,1,0.004943
1110,1,0.004449
1111,1,0.004004
1112,1,0.003604
1113,1,0.003243
1114,1,0.002919
1115,1,0.002627
1116,1,0.002364
1117,1,0.002128
1118,1,0.001915
1119,1,0.001724
1120,1,0.001551
1121,1,0.001396
1122,1,0.001257
1123,0,0.115539
1124,1,0.103985
1125,1,0.093587
1126,1,0.084228
1127,1,0.075805
1128,1,0.068225
1129,1,0.061402
1130,1,0.055262
1131,1,0.049736
1132,1,0.044762
1133,1,0.040286
1134,1,0.036257
1135,1,0.032632
1136,1,0.029369
1137,1,0.026432
1138,1,0.023789
1139,1,0.021410
1140,1,0.019269
1141,1,0.017342
1142,1,0.015608
1143,1,0.014047
1144,1,0.012642
1145,1,0.011378
1146,1,0.010240
1147,1,0.009216
1148,1,0.008295
1149,1,0.007465
1150,1,0.006719
1151,1,0.006047
1152,1,0.005442
1153,1,0.004898
1154,1,0.004408
1155,1,0.003967
1156,1,0.003571
1157,1,0.003213
1158,1,0.002892
1159,1,0.002603
1160,1,0.002343
1161,1,0.002108
1162,1,0.001898
1163,1,0.001708
1164,1,0.001537
1165,1,0.001383
1166,1,0.001245
1167,1,0.001120
1168,1,0.001008
1169,1,0.000908
1170,1,0.000817
1171,1,0.000735
1172,1,0.000662
1173,1,0.000595
1174,1,0.000536
1175,1,0.000482
1176,1,0.000434
1177,1,0.000391
1178,1,0.000352
1179,1,0.000316
1180,1,0.000285
1181,1,0.000256
1182,1,0.000231
1183,1,0.000208
1184,1,0.000187
1185,1,0.000168
1186,1,0.000151
1187,1,0.000136
1188,1,0.000123
1189,1,0.000110
1190,1,0.000099
1191,1,0.000089
1192,1,0.000080
1193,1,0.000072
1194,1,0.000065
1195,1,0.000059
1196,1,0.000053
1197,1,0.000047
1198,1,0.000043
1199,1,0.000038
1200,1,0.000035
1201,1,0.000031
1202,1,0.000028
1203,0,0.111991
1204,1,0.100792
1205,1,0.090712
1206,1,0.081641
1207,1,0.073477
1208,1,0.066129
1209,1,0.059516
1210,1,0.053565
1211,1,0.048208
1212,1,0.043387
1213,1,0.039049
1214,1,0.035144
1215,1,0.031629
1216,1,0.028467
1217,1,0.025620
1218,0,0.118826
1219,1,0.106944
1220,1,0.096249
1221,1,0.086625
1222,1,0.077962
1223,1,0.070166
1224,1,0.063149
1225,1,0.056834
1226,1,0.051151
1227,1,0.046036
1228,1,0.041432
1229,1,0.037289
1230,1,0.033560
1231,1,0.030204
1232,1,0.027184
1233,1,0.024465
1234,1,0.022019
1235,1,0.019817
1236,1,0.017835
1237,1,0.016052
1238,1,0.014447
1239,1,0.013002
1240,1,0.011702
1241,1,0.010532
1242,1,0.009478
1243,1,0.008531
1244,1,0.007677
1245,1,0.006910
1246,1,0.006219
1247,1,0.005597
1248,1,0.005037
1249,1,0.004533
1250,1,0.004080
1251,1,0.003672
1252,1,0.003305
1253,1,0.002974
1254,1,0.002677
1255,1,0.002409
1256,1,0.002168
1257,1,0.001952
1258,0,0.118166
1259,1,0.106349
1260,1,0.095714
1261,1,0.086143
1262,1,0.077529
1263,1,0.069776
1264,1,0.062798
1265,1,0.056518
1266,1,0.050866
1267,1,0.045780
1268,1,0.041202
