Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
1020: Ret: -482.29; Last 100 Avg Ret: -42.88; Var: 0.00480191; NE: 1.146; ACh: 0.000; ActLR: 0.00006250; Solved: N
1030: Ret: -387.31; Last 100 Avg Ret: -108.98; Var: 0.00612625; NE: 1.143; ACh: 0.276; ActLR: 0.00100000; Solved: N
1040: Ret: -502.14; Last 100 Avg Ret: -167.73; Var: 0.01011646; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1050: Ret: -176.77; Last 100 Avg Ret: -224.33; Var: 0.01023596; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1060: Ret: -315.95; Last 100 Avg Ret: -256.60; Var: 0.00890092; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1070: Ret: -120.63; Last 100 Avg Ret: -262.13; Var: 0.01025154; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1080: Ret: -126.45; Last 100 Avg Ret: -278.57; Var: 0.00515887; NE: 1.144; ACh: 0.001; ActLR: 0.00006250; Solved: N
1090: Ret: -201.45; Last 100 Avg Ret: -291.85; Var: 0.00310814; NE: 1.144; ACh: 0.000; ActLR: 0.00010942; Solved: N
1100: Ret: -192.20; Last 100 Avg Ret: -309.98; Var: 0.00503664; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
1110: Ret: -106.84; Last 100 Avg Ret: -301.10; Var: 0.00262016; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1120: Ret: -275.55; Last 100 Avg Ret: -272.29; Var: 0.00326551; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1130: Ret: -160.50; Last 100 Avg Ret: -231.22; Var: 0.00252174; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1140: Ret: -88.14; Last 100 Avg Ret: -199.50; Var: 0.00136003; NE: 1.142; ACh: 0.000; ActLR: 0.00013509; Solved: N
1150: Ret: -198.20; Last 100 Avg Ret: -160.97; Var: 0.00166998; NE: 1.142; ACh: 0.000; ActLR: 0.00034868; Solved: N
1160: Ret: -99.73; Last 100 Avg Ret: -144.47; Var: 0.00745447; NE: 1.142; ACh: 0.999; ActLR: 0.00100000; Solved: N
1170: Ret: -110.98; Last 100 Avg Ret: -145.48; Var: 0.00277981; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1180: Ret: -142.82; Last 100 Avg Ret: -142.12; Var: 0.00192920; NE: 1.143; ACh: 0.000; ActLR: 0.00012158; Solved: N
1190: Ret: -119.19; Last 100 Avg Ret: -139.73; Var: 0.00000475; NE: 1.143; ACh: 0.000; ActLR: 0.00065610; Solved: N
1200: Ret: -114.10; Last 100 Avg Ret: -135.64; Var: 0.00074511; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1210: Ret: -85.46; Last 100 Avg Ret: -132.81; Var: 0.00571823; NE: 1.142; ACh: 0.022; ActLR: 0.00027612; Solved: N
1220: Ret: -92.38; Last 100 Avg Ret: -128.31; Var: 0.00169147; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1230: Ret: -131.74; Last 100 Avg Ret: -128.19; Var: 0.00217661; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1240: Ret: -121.08; Last 100 Avg Ret: -125.75; Var: 0.00029758; NE: 1.142; ACh: 0.000; ActLR: 0.00047830; Solved: N
1250: Ret: -161.07; Last 100 Avg Ret: -127.14; Var: 0.00111714; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1260: Ret: -224.56; Last 100 Avg Ret: -131.55; Var: 0.00021405; NE: 1.142; ACh: 0.000; ActLR: 0.00053144; Solved: N
1270: Ret: -158.71; Last 100 Avg Ret: -133.71; Var: 0.00186881; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1280: Ret: -128.63; Last 100 Avg Ret: -134.49; Var: 0.00164919; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1290: Ret: -47.36; Last 100 Avg Ret: -135.03; Var: 0.00932693; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1300: Ret: -174.70; Last 100 Avg Ret: -135.00; Var: 0.00057650; NE: 1.142; ACh: 0.000; ActLR: 0.00065610; Solved: N
1310: Ret: -64.65; Last 100 Avg Ret: -134.25; Var: 0.00331946; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1320: Ret: -125.29; Last 100 Avg Ret: -133.16; Var: 0.00191315; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1330: Ret: -93.51; Last 100 Avg Ret: -132.47; Var: 0.00029968; NE: 1.142; ACh: 0.000; ActLR: 0.00038742; Solved: N
1340: Ret: -139.30; Last 100 Avg Ret: -135.85; Var: 0.00188160; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1350: Ret: -128.88; Last 100 Avg Ret: -135.73; Var: 0.00044908; NE: 1.142; ACh: 0.000; ActLR: 0.00020589; Solved: N
1360: Ret: -136.10; Last 100 Avg Ret: -132.56; Var: 0.00211969; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1370: Ret: -137.39; Last 100 Avg Ret: -130.09; Var: 0.00055774; NE: 1.142; ACh: 0.000; ActLR: 0.00043047; Solved: N
1380: Ret: -128.75; Last 100 Avg Ret: -129.67; Var: 0.00190416; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1390: Ret: -170.66; Last 100 Avg Ret: -129.43; Var: 0.00057614; NE: 1.142; ACh: 0.000; ActLR: 0.00013509; Solved: N
1400: Ret: -138.70; Last 100 Avg Ret: -129.26; Var: 0.00339185; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1410: Ret: -117.83; Last 100 Avg Ret: -129.61; Var: 0.00037773; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1420: Ret: -137.17; Last 100 Avg Ret: -131.22; Var: 0.00040732; NE: 1.142; ACh: 0.000; ActLR: 0.00012158; Solved: N
1430: Ret: -179.19; Last 100 Avg Ret: -130.90; Var: 0.00062485; NE: 1.143; ACh: 0.000; ActLR: 0.00065610; Solved: N
1440: Ret: -122.74; Last 100 Avg Ret: -130.26; Var: 0.00342176; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1450: Ret: -157.36; Last 100 Avg Ret: -129.13; Var: 0.00045407; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1460: Ret: -126.74; Last 100 Avg Ret: -134.29; Var: 0.00341151; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1470: Ret: -130.31; Last 100 Avg Ret: -134.66; Var: 0.00147002; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1480: Ret: -179.01; Last 100 Avg Ret: -135.35; Var: 0.00037431; NE: 1.142; ACh: 0.000; ActLR: 0.00016677; Solved: N
1490: Ret: 16.79; Last 100 Avg Ret: -133.23; Var: 0.00314795; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1500: Ret: -148.05; Last 100 Avg Ret: -130.38; Var: 0.00025523; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1510: Ret: -98.86; Last 100 Avg Ret: -129.89; Var: 0.00549255; NE: 1.142; ACh: 0.005; ActLR: 0.00010362; Solved: N
1520: Ret: -129.30; Last 100 Avg Ret: -129.83; Var: 0.00245398; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1530: Ret: -166.66; Last 100 Avg Ret: -132.10; Var: 0.00079318; NE: 1.143; ACh: 0.000; ActLR: 0.00031381; Solved: N
1540: Ret: -154.30; Last 100 Avg Ret: -132.69; Var: 0.00258319; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1550: Ret: -133.60; Last 100 Avg Ret: -132.63; Var: 0.00050931; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1560: Ret: -131.45; Last 100 Avg Ret: -128.24; Var: 0.00007853; NE: 1.142; ACh: 0.000; ActLR: 0.00047830; Solved: N
