65: Ret: -121.45; Last 100 Avg Ret: -184.68; Var: 0.00093076; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 4; Solved: N
66: Ret: -160.21; Last 100 Avg Ret: -184.31; Var: 0.00096105; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 4; Solved: N
67: Ret: -150.91; Last 100 Avg Ret: -183.81; Var: 0.00095702; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 4; Solved: N
68: Ret: -261.24; Last 100 Avg Ret: -184.95; Var: 0.00093020; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 4; Solved: N
69: Ret: -100.13; Last 100 Avg Ret: -183.72; Var: 0.00092657; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 4; Solved: N
70: Ret: -139.72; Last 100 Avg Ret: -183.09; Var: 0.00096112; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 4; Solved: N
71: Ret: -19.36; Last 100 Avg Ret: -180.79; Var: 0.00094996; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 4; Solved: N
72: Ret: -118.13; Last 100 Avg Ret: -179.92; Var: 0.00092924; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 4; Solved: N
73: Ret: 29.46; Last 100 Avg Ret: -177.05; Var: 0.00094837; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 4; Solved: N
74: Ret: -151.27; Last 100 Avg Ret: -176.70; Var: 0.00095644; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 4; Solved: N
75: Ret: -64.82; Last 100 Avg Ret: -175.21; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 5; Solved: N
76: Ret: -158.91; Last 100 Avg Ret: -174.99; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 5; Solved: N
77: Ret: -154.74; Last 100 Avg Ret: -174.73; Var: 0.00096113; NE: 1.145; ACh: 0.565; ActLR: 0.00006250; EpCount0: 5; Solved: N
78: Ret: -89.07; Last 100 Avg Ret: -173.63; Var: 0.00096093; NE: 1.145; ACh: 0.565; ActLR: 0.00006250; EpCount0: 5; Solved: N
79: Ret: -326.85; Last 100 Avg Ret: -175.57; Var: 0.00096113; NE: 1.144; ACh: 0.565; ActLR: 0.00006250; EpCount0: 5; Solved: N
80: Ret: -257.34; Last 100 Avg Ret: -176.59; Var: 0.00094996; NE: 1.143; ACh: 0.565; ActLR: 0.00006250; EpCount0: 5; Solved: N
81: Ret: -77.13; Last 100 Avg Ret: -175.37; Var: 0.00095682; NE: 1.143; ACh: 0.565; ActLR: 0.00006250; EpCount0: 5; Solved: N
82: Ret: -19.61; Last 100 Avg Ret: -173.47; Var: 0.00095694; NE: 1.143; ACh: 0.565; ActLR: 0.00006250; EpCount0: 5; Solved: N
83: Ret: -177.25; Last 100 Avg Ret: -173.51; Var: 0.00096112; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 5; Solved: N
84: Ret: -586.32; Last 100 Avg Ret: -178.43; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 5; Solved: N
85: Ret: -385.20; Last 100 Avg Ret: -180.86; Var: 0.00093076; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 5; Solved: N
86: Ret: -307.58; Last 100 Avg Ret: -182.33; Var: 0.00092664; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 5; Solved: N
87: Ret: -158.52; Last 100 Avg Ret: -182.06; Var: 0.00095639; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 5; Solved: N
88: Ret: -201.22; Last 100 Avg Ret: -182.28; Var: 0.00093011; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 5; Solved: N
89: Ret: -223.50; Last 100 Avg Ret: -182.74; Var: 0.00096050; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 5; Solved: N
90: Ret: -138.42; Last 100 Avg Ret: -182.25; Var: 0.00096090; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 5; Solved: N
91: Ret: -140.47; Last 100 Avg Ret: -181.79; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 5; Solved: N
92: Ret: -95.41; Last 100 Avg Ret: -180.85; Var: 0.00093076; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 5; Solved: N
93: Ret: -134.65; Last 100 Avg Ret: -180.35; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 5; Solved: N
94: Ret: -127.88; Last 100 Avg Ret: -179.79; Var: 0.00096093; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 5; Solved: N
95: Ret: -90.13; Last 100 Avg Ret: -178.85; Var: 0.00094995; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 6; Solved: N
