episode,is_optimal,surprise
778,1,0.013203
779,1,0.011883
780,1,0.010694
781,1,0.009625
782,1,0.008663
783,1,0.007796
784,1,0.007017
785,1,0.006315
786,1,0.005683
787,1,0.005115
788,1,0.004604
789,1,0.004143
790,1,0.003729
791,1,0.003356
792,1,0.003020
793,1,0.002718
794,1,0.002447
795,1,0.002202
796,1,0.001982
797,1,0.001784
798,1,0.001605
799,1,0.001445
800,1,0.001300
801,1,0.001170
802,1,0.001053
803,1,0.000948
804,1,0.000853
805,1,0.000768
806,1,0.000691
807,1,0.000622
808,1,0.000560
809,1,0.000504
810,1,0.000453
811,1,0.000408
812,1,0.000367
813,1,0.000330
814,1,0.000297
815,1,0.000268
816,1,0.000241
817,1,0.000217
818,1,0.000195
819,1,0.000176
820,1,0.000158
821,1,0.000142
822,1,0.000128
823,1,0.000115
824,1,0.000104
825,1,0.000093
826,1,0.000084
827,1,0.000076
828,1,0.000068
829,1,0.000061
830,1,0.000055
831,1,0.000050
832,1,0.000045
833,1,0.000040
834,1,0.000036
835,1,0.000033
836,1,0.000029
837,1,0.000026
838,1,0.000024
839,1,0.000021
840,1,0.000019
841,1,0.000017
842,1,0.000016
843,1,0.000014
844,1,0.000013
845,1,0.000011
846,1,0.000010
847,1,0.000009
848,1,0.000008
849,1,0.000007
850,1,0.000007
851,1,0.000006
852,1,0.000005
853,1,0.000005
854,1,0.000004
855,1,0.000004
856,1,0.000004
857,0,0.086249
858,1,0.077624
859,1,0.069862
860,1,0.062876
861,1,0.056588
862,1,0.050929
863,1,0.045836
864,1,0.041253
865,1,0.037127
866,1,0.033415
867,1,0.030073
868,1,0.027066
869,1,0.024359
870,1,0.021923
871,1,0.019731
872,1,0.017758
873,1,0.015982
874,1,0.014384
875,1,0.012946
876,1,0.011651
877,1,0.010486
878,1,0.009437
879,1,0.008494
880,1,0.007644
881,1,0.006880
882,1,0.006192
883,1,0.005573
884,1,0.005015
885,1,0.004514
886,1,0.004062
887,1,0.003656
888,1,0.003291
889,1,0.002962
890,1,0.002665
891,1,0.002399
892,1,0.002159
893,1,0.001943
894,1,0.001749
895,1,0.001574
896,1,0.001416
897,1,0.001275
898,1,0.001147
899,1,0.001033
900,1,0.000929
901,1,0.000836
902,1,0.000753
903,1,0.000678
904,1,0.000610
905,1,0.000549
906,1,0.000494
907,1,0.000445
908,1,0.000400
909,1,0.000360
910,1,0.000324
911,1,0.000292
912,1,0.000262
913,1,0.000236
914,1,0.000213
915,1,0.000191
916,1,0.000172
917,1,0.000155
918,1,0.000139
919,1,0.000126
920,1,0.000113
921,1,0.000102
922,1,0.000092
923,1,0.000082
924,1,0.000074
925,1,0.000067
926,1,0.000060
927,1,0.000054
928,1,0.000049
929,1,0.000044
930,1,0.000039
931,1,0.000035
932,1,0.000032
933,1,0.000029
934,1,0.000026
935,1,0.000023
936,1,0.000021
937,1,0.000019
938,1,0.000017
939,1,0.000015
940,1,0.000014
941,1,0.000012
942,1,0.000011
943,1,0.000010
944,1,0.000009
945,1,0.000008
946,1,0.000007
947,1,0.000007
948,1,0.000006
949,1,0.000005
