Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
740: Ret: 228.13; Last 100 Avg Ret: 1.46; Var: 0.00059798; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
750: Ret: 1.85; Last 100 Avg Ret: 10.04; Var: 0.00097702; NE: 1.148; ACh: 0.000; ActLR: 0.00006250; Solved: N
760: Ret: 185.42; Last 100 Avg Ret: 18.13; Var: 0.00055778; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
770: Ret: 215.92; Last 100 Avg Ret: 23.60; Var: 0.00057061; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
780: Ret: 193.39; Last 100 Avg Ret: 35.04; Var: 0.00020216; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
790: Ret: -21.93; Last 100 Avg Ret: 31.99; Var: 0.00069873; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
800: Ret: 234.86; Last 100 Avg Ret: 48.19; Var: 0.00033315; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
810: Ret: 185.73; Last 100 Avg Ret: 58.22; Var: 0.00071198; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
820: Ret: -62.17; Last 100 Avg Ret: 60.19; Var: 0.00044848; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
830: Ret: -44.41; Last 100 Avg Ret: 66.54; Var: 0.00038078; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
840: Ret: 280.01; Last 100 Avg Ret: 79.03; Var: 0.00051458; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
850: Ret: -76.93; Last 100 Avg Ret: 71.67; Var: 0.00042386; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
860: Ret: 133.46; Last 100 Avg Ret: 67.13; Var: 0.00036943; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
870: Ret: 212.69; Last 100 Avg Ret: 75.41; Var: 0.00072763; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
880: Ret: -150.88; Last 100 Avg Ret: 65.85; Var: 0.00055368; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
890: Ret: 146.35; Last 100 Avg Ret: 60.99; Var: 0.00042748; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
900: Ret: 266.39; Last 100 Avg Ret: 54.82; Var: 0.00078894; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
910: Ret: -25.41; Last 100 Avg Ret: 58.00; Var: 0.00037027; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
920: Ret: 234.89; Last 100 Avg Ret: 71.11; Var: 0.00246514; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
930: Ret: 199.21; Last 100 Avg Ret: 78.31; Var: 0.00045748; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
940: Ret: -94.03; Last 100 Avg Ret: 62.44; Var: 0.00026546; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
950: Ret: -84.13; Last 100 Avg Ret: 46.50; Var: 0.00134711; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
960: Ret: 264.71; Last 100 Avg Ret: 51.71; Var: 0.00035415; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
970: Ret: 248.08; Last 100 Avg Ret: 57.19; Var: 0.00035782; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
980: Ret: -85.89; Last 100 Avg Ret: 56.67; Var: 0.00065285; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
990: Ret: 214.25; Last 100 Avg Ret: 70.30; Var: 0.00014970; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1000: Ret: 199.69; Last 100 Avg Ret: 87.12; Var: 0.00068530; NE: 1.148; ACh: 0.000; ActLR: 0.00006250; Solved: N
1010: Ret: -570.91; Last 100 Avg Ret: 51.93; Var: 0.00150933; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1020: Ret: -694.12; Last 100 Avg Ret: -15.07; Var: 0.00546796; NE: 1.142; ACh: 0.005; ActLR: 0.00006250; Solved: N
1030: Ret: -789.58; Last 100 Avg Ret: -86.78; Var: 0.00511499; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
