Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
560: Ret: -145.47; Last 100 Avg Ret: -59.44; Var: 0.00046960; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
570: Ret: 32.08; Last 100 Avg Ret: -52.01; Var: 0.00081387; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
580: Ret: -28.93; Last 100 Avg Ret: -59.58; Var: 0.00063197; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
590: Ret: -154.04; Last 100 Avg Ret: -55.89; Var: 0.00057697; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
600: Ret: -29.54; Last 100 Avg Ret: -58.98; Var: 0.00043685; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
610: Ret: 195.42; Last 100 Avg Ret: -53.26; Var: 0.00040163; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
620: Ret: 13.75; Last 100 Avg Ret: -48.16; Var: 0.00023489; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
630: Ret: -140.83; Last 100 Avg Ret: -37.11; Var: 0.00123008; NE: 1.146; ACh: 0.000; ActLR: 0.00006250; Solved: N
640: Ret: -199.66; Last 100 Avg Ret: -37.92; Var: 0.00034945; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
650: Ret: -271.26; Last 100 Avg Ret: -34.39; Var: 0.00022804; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
660: Ret: -24.93; Last 100 Avg Ret: -24.47; Var: 0.00045454; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
670: Ret: 79.90; Last 100 Avg Ret: -20.55; Var: 0.00054151; NE: 1.148; ACh: 0.000; ActLR: 0.00006250; Solved: N
680: Ret: -84.38; Last 100 Avg Ret: -1.53; Var: 0.00087122; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
690: Ret: 34.42; Last 100 Avg Ret: -8.82; Var: 0.00091208; NE: 1.146; ACh: 0.000; ActLR: 0.00006250; Solved: N
700: Ret: -7.27; Last 100 Avg Ret: -2.91; Var: 0.00119020; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
710: Ret: 10.33; Last 100 Avg Ret: 0.51; Var: 0.00097482; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
720: Ret: -58.47; Last 100 Avg Ret: 5.19; Var: 0.00030880; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
730: Ret: 199.64; Last 100 Avg Ret: 9.06; Var: 0.00020462; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
740: Ret: 212.84; Last 100 Avg Ret: 21.51; Var: 0.00046986; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
750: Ret: 224.46; Last 100 Avg Ret: 20.56; Var: 0.00036763; NE: 1.146; ACh: 0.000; ActLR: 0.00006250; Solved: N
760: Ret: -188.52; Last 100 Avg Ret: 14.35; Var: 0.00035160; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
770: Ret: 1.51; Last 100 Avg Ret: 11.75; Var: 0.00068419; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
780: Ret: -7.14; Last 100 Avg Ret: 12.21; Var: 0.00112052; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
790: Ret: 17.90; Last 100 Avg Ret: 21.46; Var: 0.00083471; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
