Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
500: Ret: -24.34; Last 100 Avg Ret: -68.76; Var: 0.00122592; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
510: Ret: 45.31; Last 100 Avg Ret: -55.70; Var: 0.00116317; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
520: Ret: -84.15; Last 100 Avg Ret: -45.72; Var: 0.00113482; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
530: Ret: -175.32; Last 100 Avg Ret: -42.85; Var: 0.00042740; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
540: Ret: -207.33; Last 100 Avg Ret: -29.98; Var: 0.00030388; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
550: Ret: 4.27; Last 100 Avg Ret: -11.46; Var: 0.00071895; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
560: Ret: -306.25; Last 100 Avg Ret: -7.20; Var: 0.00085759; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
570: Ret: -48.29; Last 100 Avg Ret: 8.14; Var: 0.00111619; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
580: Ret: 167.43; Last 100 Avg Ret: 11.64; Var: 0.00140931; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
590: Ret: -179.19; Last 100 Avg Ret: 14.63; Var: 0.00058490; NE: 1.147; ACh: 0.000; ActLR: 0.00006250; Solved: N
600: Ret: -101.02; Last 100 Avg Ret: 20.34; Var: 0.00054821; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
610: Ret: -169.68; Last 100 Avg Ret: 18.02; Var: 0.00076989; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
620: Ret: -44.21; Last 100 Avg Ret: 18.22; Var: 0.00064478; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
630: Ret: 263.94; Last 100 Avg Ret: 31.87; Var: 0.00057105; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
640: Ret: 245.70; Last 100 Avg Ret: 34.89; Var: 0.00078780; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
650: Ret: -6.83; Last 100 Avg Ret: 30.08; Var: 0.00075637; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
660: Ret: -176.76; Last 100 Avg Ret: 31.67; Var: 0.00033259; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
670: Ret: 28.09; Last 100 Avg Ret: 30.34; Var: 0.00130929; NE: 1.146; ACh: 0.000; ActLR: 0.00006250; Solved: N
680: Ret: -30.89; Last 100 Avg Ret: 32.35; Var: 0.00059112; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
690: Ret: 141.68; Last 100 Avg Ret: 46.26; Var: 0.00037526; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
700: Ret: 308.43; Last 100 Avg Ret: 54.33; Var: 0.00076009; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
710: Ret: 230.21; Last 100 Avg Ret: 61.57; Var: 0.00048241; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
720: Ret: 154.24; Last 100 Avg Ret: 65.21; Var: 0.00052337; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
730: Ret: -12.52; Last 100 Avg Ret: 59.42; Var: 0.00034604; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
740: Ret: 69.67; Last 100 Avg Ret: 65.33; Var: 0.00031144; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
750: Ret: 241.67; Last 100 Avg Ret: 70.89; Var: 0.00026226; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
760: Ret: -22.76; Last 100 Avg Ret: 81.08; Var: 0.00006518; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
770: Ret: 177.14; Last 100 Avg Ret: 82.41; Var: 0.00000473; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
780: Ret: 155.88; Last 100 Avg Ret: 90.12; Var: 0.00021900; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
790: Ret: -82.25; Last 100 Avg Ret: 91.11; Var: 0.00089607; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
800: Ret: 89.28; Last 100 Avg Ret: 78.86; Var: 0.00049343; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
810: Ret: 275.08; Last 100 Avg Ret: 84.26; Var: 0.00062764; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
820: Ret: -74.79; Last 100 Avg Ret: 83.18; Var: 0.00010130; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
830: Ret: 249.36; Last 100 Avg Ret: 89.44; Var: 0.00011355; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
840: Ret: 232.85; Last 100 Avg Ret: 97.49; Var: 0.00052948; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
850: Ret: 179.89; Last 100 Avg Ret: 102.37; Var: 0.00027502; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
860: Ret: 212.20; Last 100 Avg Ret: 100.23; Var: 0.00045743; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
870: Ret: 267.51; Last 100 Avg Ret: 101.86; Var: 0.00039175; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
880: Ret: 251.10; Last 100 Avg Ret: 104.48; Var: 0.00049851; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
890: Ret: 16.88; Last 100 Avg Ret: 100.75; Var: 0.00012448; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
900: Ret: 114.77; Last 100 Avg Ret: 109.57; Var: 0.00050101; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
910: Ret: -20.27; Last 100 Avg Ret: 111.41; Var: 0.00025075; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
920: Ret: -68.64; Last 100 Avg Ret: 107.04; Var: 0.00049889; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
930: Ret: 225.34; Last 100 Avg Ret: 108.22; Var: 0.00098051; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
940: Ret: 240.21; Last 100 Avg Ret: 90.32; Var: 0.00040573; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
950: Ret: -14.68; Last 100 Avg Ret: 83.09; Var: 0.00057747; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
960: Ret: 198.43; Last 100 Avg Ret: 89.08; Var: 0.00031216; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
970: Ret: 206.21; Last 100 Avg Ret: 90.24; Var: 0.00036679; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
980: Ret: -105.90; Last 100 Avg Ret: 74.63; Var: 0.00052149; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
990: Ret: 15.18; Last 100 Avg Ret: 66.67; Var: 0.00094720; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1000: Ret: 208.46; Last 100 Avg Ret: 60.11; Var: 0.00081156; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
1010: Ret: -485.28; Last 100 Avg Ret: 15.37; Var: 0.00190044; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1020: Ret: -651.76; Last 100 Avg Ret: -43.48; Var: 0.00277667; NE: 1.144; ACh: 0.000; ActLR: 0.00022877; Solved: N
1030: Ret: -637.47; Last 100 Avg Ret: -111.56; Var: 0.00968901; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1040: Ret: -640.96; Last 100 Avg Ret: -162.77; Var: 0.01025181; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1050: Ret: -886.48; Last 100 Avg Ret: -226.46; Var: 0.01020601; NE: 1.143; ACh: 1.000; ActLR: 0.00100000; Solved: N
1060: Ret: -514.19; Last 100 Avg Ret: -313.90; Var: 0.00626537; NE: 1.143; ACh: 0.490; ActLR: 0.00099003; Solved: N
1070: Ret: -491.58; Last 100 Avg Ret: -406.50; Var: 0.01023592; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1080: Ret: -483.98; Last 100 Avg Ret: -473.26; Var: 0.00992726; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1090: Ret: -541.29; Last 100 Avg Ret: -602.52; Var: 0.01025132; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
