window_end_episode,mean_reward_rate,std_reward_rate
21400,69.100000,11.090086
21450,69.000000,10.497619
21500,65.600000,10.442222
21550,67.300000,11.615076
21600,65.000000,10.459445
21650,64.800000,11.124747
21700,61.200000,16.412191
21750,62.400000,10.594338
21800,62.700000,11.954497
21850,59.700000,10.756858
21900,57.400000,11.297787
21950,54.200000,10.842509
22000,57.900000,9.848350
22050,55.400000,8.968835
22100,54.300000,8.301205
22150,54.200000,7.291090
22200,55.200000,8.034924
22250,55.000000,9.497368
22300,53.100000,9.559812
22350,50.500000,7.399324
22400,50.400000,7.002857
22450,52.600000,8.901685
22500,51.100000,5.982474
22550,53.000000,9.889388
22600,48.600000,5.969925
22650,48.100000,5.346962
22700,47.600000,8.777243
22750,46.800000,7.166589
22800,50.200000,6.508456
22850,48.500000,9.162423
22900,47.300000,6.333246
22950,48.000000,6.663332
23000,49.100000,8.354041
23050,50.000000,6.782330
23100,49.800000,8.292165
23150,48.700000,4.484417
23200,49.500000,6.192738
23250,49.200000,6.764614
23300,48.100000,5.708765
23350,48.100000,5.881326
23400,49.400000,6.514599
23450,46.700000,7.437069
23500,49.800000,9.314505
23550,48.900000,4.752894
23600,47.700000,7.022108
23650,49.300000,6.760917
23700,47.100000,7.495999
23750,50.600000,7.296575
23800,47.400000,5.219195
23850,48.500000,8.691950
23900,50.600000,6.785278
23950,48.600000,7.405403
24000,49.500000,5.962382
24050,49.100000,7.495999
24100,48.900000,7.706491
24150,49.600000,6.374951
24200,47.100000,8.135724
24250,46.400000,7.939773
24300,48.200000,7.794870
24350,46.000000,7.536577
24400,47.600000,6.945502
24450,47.400000,5.936329
24500,48.900000,7.936624
24550,49.000000,9.262829
24600,51.400000,5.063596
24650,47.600000,7.445804
24700,47.800000,8.243786
24750,46.500000,8.071555
24800,48.200000,5.723635
24850,47.300000,5.975784
24900,48.700000,6.269769
24950,47.000000,7.912016
25000,49.400000,8.002500
25050,49.400000,7.825599
25100,44.200000,7.794870
25150,47.500000,5.995832
25200,46.800000,7.909488
