window_end_episode,mean_reward_rate,std_reward_rate
6800,100.000000,0.000000
6850,100.000000,0.000000
6900,100.000000,0.000000
6950,99.800000,0.600000
7000,99.900000,0.435890
7050,99.900000,0.435890
7100,100.000000,0.000000
7150,100.000000,0.000000
7200,99.600000,1.019804
7250,99.900000,0.435890
7300,99.800000,0.600000
7350,99.900000,0.435890
7400,99.700000,0.714143
7450,99.800000,0.600000
7500,100.000000,0.000000
7550,99.900000,0.435890
7600,99.800000,0.600000
7650,99.900000,0.435890
7700,99.800000,0.871780
7750,99.600000,1.019804
7800,99.900000,0.435890
7850,99.600000,1.743560
7900,99.500000,1.244990
7950,99.700000,0.953939
8000,99.500000,1.396424
8050,99.600000,0.800000
8100,99.500000,1.072381
8150,99.300000,1.819341
8200,99.800000,0.871780
8250,99.100000,2.233831
8300,99.400000,1.800000
8350,99.100000,1.479865
8400,98.700000,4.484417
8450,98.700000,2.917190
8500,99.100000,2.487971
8550,98.600000,3.954744
8600,98.900000,3.659235
8650,99.100000,2.643861
8700,98.900000,3.128898
8750,98.600000,4.903060
8800,98.300000,5.736724
8850,97.500000,7.207635
8900,97.600000,6.248200
8950,97.900000,6.015812
9000,96.000000,9.879271
9050,96.400000,8.639444
9100,96.600000,8.151074
9150,96.100000,9.684524
9200,96.400000,8.380931
9250,96.000000,10.000000
9300,96.100000,8.932525
9350,96.000000,9.465728
9400,95.700000,9.322553
9450,94.000000,14.085453
9500,94.500000,10.842048
9550,93.700000,13.509626
9600,93.000000,16.006249
9650,93.200000,14.620534
9700,93.600000,13.001538
9750,92.300000,13.627546
9800,93.300000,13.788038
9850,92.500000,13.636348
9900,92.100000,14.621559
9950,92.400000,13.200000
10000,90.900000,15.510964
10050,92.100000,13.761904
10100,89.800000,18.589244
10150,8.500000,14.420472
10200,9.500000,16.160136
10250,9.700000,17.980823
10300,9.300000,16.700599
10350,9.000000,15.000000
10400,9.800000,16.061133
10450,9.700000,16.263763
10500,9.200000,16.593975
10550,10.000000,16.946976
10600,8.800000,15.638414
10650,9.200000,15.458331
10700,10.300000,18.267731
10750,8.700000,14.836105
10800,10.000000,18.099724
10850,10.400000,18.347752
10900,10.800000,17.859451
10950,10.700000,18.849668
11000,8.700000,15.404869
11050,9.200000,15.587174
11100,9.100000,16.594879
11150,10.400000,18.260340
11200,8.800000,15.879547
11250,9.600000,15.994999
11300,9.700000,17.184586
11350,10.300000,17.925122
11400,10.300000,17.734430
11450,8.800000,15.651198
11500,10.300000,18.913223
11550,9.600000,17.850490
11600,8.500000,15.360664
11650,10.600000,18.045498
11700,8.900000,15.066187
11750,10.000000,17.955501
11800,8.800000,16.240690
11850,9.600000,16.463293
11900,10.400000,17.176728
11950,10.200000,17.808986
12000,9.900000,15.855283
12050,9.900000,16.976160
12100,9.400000,15.583324
12150,9.500000,16.073270
12200,11.000000,18.563405
12250,10.000000,16.248077
